DistrictName,FederallyFunded
ADIRONDACK CSD,No
ALBANY CITY SD,No
ALDEN CSD,No
AMHERST CSD,No
AMITYVILLE UFSD,No
AMSTERDAM CITY SD,No
ARLINGTON CSD,No
AUBURN CITY SD,Yes
BALDWIN UFSD,Yes
BALDWINSVILLE CSD,No
BATAVIA CITY SD,No
BEACON CITY SD,Yes
BEDFORD CSD,No
BEEKMANTOWN CSD,No
BELLMORE-MERRICK CENTRAL SCHOOL DISTRICT,Yes
BETHLEHEM CSD,Yes
BETHPAGE UFSD,No
BINGHAMTON CITY SD,Yes
BRENTWOOD UFSD,Yes
BREWSTER CSD,No
BRIGHTON CSD,Yes
BROADALBIN-PERTH CSD,No
BROCKPORT CSD,No
BROOKHAVEN-COMSEWOGUE UFSD,No
BUFFALO CITY SD,Yes
CAMDEN CSD,Yes
CANASTOTA CSD,No
CARMEL CSD,No
CARTHAGE CSD,Yes
CHAPPAQUA CSD,No
CHEEKTOWAGA CSD,Yes
CHEEKTOWAGA-MARYVALE UFSD,No
CHEEKTOWAGA-SLOAN UFSD,Yes
CHITTENANGO CSD,No
CHURCHVILLE-CHILI CSD,No
CLARENCE CSD,No
CLARKSTOWN CSD,No
COBLESKILL-RICHMONDVILLE CSD,Yes
COHOES CITY SD,Yes
COMMACK UFSD,No
CONNETQUOT CSD,No
COPIAGUE UFSD,No
CORNING CITY SD,Yes
CORNWALL CSD,Yes
CORTLAND CITY SD,No
COXSACKIE-ATHENS CSD,No
DOVER UFSD,No
DRYDEN CSD,Yes
DUNKIRK CITY SD,Yes
EASTCHESTER UFSD,No
ELMIRA CITY SD,Yes
ELMONT UFSD,No
ELWOOD UFSD,No
FAIRPORT CSD,No
FARMINGDALE UFSD,Yes
FAYETTEVILLE-MANLIUS CSD,No
FREEPORT UFSD,No
FRONTIER CSD,Yes
FULTON CITY SD,No
GENEVA CITY SD,No
GLOVERSVILLE CITY SD,Yes
GOSHEN CSD,No
GREECE CSD,No
GREENBURGH CSD,No
GREENE CSD,No
GUILDERLAND CSD,Yes
HAMBURG CSD,No
HARBORFIELDS CSD,No
HARRISON CSD,No
HAUPPAUGE UFSD,No
HEMPSTEAD UFSD,No
HERRICKS UFSD,No
HEWLETT-WOODMERE UFSD,No
HICKSVILLE UFSD,No
HILTON CSD,No
HOMER CSD,No
HORNELL CITY SD,No
HORSEHEADS CSD,Yes
HUDSON CITY SD,No
HUNTINGTON UFSD,No
IROQUOIS CSD,No
IRVINGTON UFSD,No
ISLIP UFSD,No
ITHACA CITY SD,No
JAMESTOWN CITY SD,No
JAMESVILLE-DEWITT CSD,No
JERICHO UFSD,No
JOHNSTOWN CITY SD,No
KATONAH-LEWISBORO UFSD,No
KENMORE-TONAWANDA UFSD,No
KINDERHOOK CSD,Yes
KINGSTON CITY SD,Yes
LACKAWANNA CITY SD,Yes
LAKELAND CSD,Yes
LANCASTER CSD,Yes
LANSINGBURGH CSD,No
LAWRENCE UFSD,Yes
LEVITTOWN UFSD,No
LEWISTON-PORTER CSD,Yes
LINDENHURST UFSD,No
LIVERPOOL CSD,No
LOCKPORT CITY SD,No
LONGWOOD CSD,Yes
LYNBROOK UFSD,No
MAHOPAC CSD,No
MAINE-ENDWELL CSD,Yes
MALONE CSD,Yes
MALVERNE UFSD,No
MAMARONECK UFSD,No
MANHASSET UFSD,Yes
MASSAPEQUA UFSD,No
MASSENA CSD,Yes
MEXICO CSD,No
MIDDLETOWN CITY SD,No
MILLBROOK CSD,No
MINEOLA UFSD,Yes
MONROE-WOODBURY CSD,No
MONTICELLO CSD,Yes
NANUET UFSD,No
NEWARK CSD,Yes
NEWBURGH CITY SD,Yes
NEWFANE CSD,No
NIAGARA-WHEATFIELD CSD,Yes
NISKAYUNA CSD,Yes
NORWICH CITY SD,No
NYACK UFSD,No
NYC GEOG DIST # 1 - MANHATTAN,Yes
NYC GEOG DIST # 2 - MANHATTAN,Yes
NYC GEOG DIST # 3 - MANHATTAN,Yes
NYC GEOG DIST # 4 - MANHATTAN,Yes
NYC GEOG DIST # 5 - MANHATTAN,Yes
NYC GEOG DIST # 6 - MANHATTAN,Yes
NYC GEOG DIST # 7 - BRONX,Yes
NYC GEOG DIST # 8 - BRONX,Yes
NYC GEOG DIST # 9 - BRONX,Yes
NYC GEOG DIST #10 - BRONX,Yes
NYC GEOG DIST #11 - BRONX,Yes
NYC GEOG DIST #12 - BRONX,Yes
NYC GEOG DIST #13 - BROOKLYN,Yes
NYC GEOG DIST #14 - BROOKLYN,Yes
NYC GEOG DIST #15 - BROOKLYN,Yes
NYC GEOG DIST #16 - BROOKLYN,Yes
NYC GEOG DIST #17 - BROOKLYN,Yes
NYC GEOG DIST #18 - BROOKLYN,Yes
NYC GEOG DIST #19 - BROOKLYN,Yes
NYC GEOG DIST #20 - BROOKLYN,Yes
NYC GEOG DIST #21 - BROOKLYN,Yes
NYC GEOG DIST #22 - BROOKLYN,Yes
NYC GEOG DIST #23 - BROOKLYN,Yes
NYC GEOG DIST #24 - QUEENS,Yes
NYC GEOG DIST #25 - QUEENS,Yes
NYC GEOG DIST #26 - QUEENS,Yes
NYC GEOG DIST #27 - QUEENS,Yes
NYC GEOG DIST #28 - QUEENS,Yes
NYC GEOG DIST #29 - QUEENS,Yes
NYC GEOG DIST #30 - QUEENS,Yes
NYC GEOG DIST #31 - STATEN ISLAND,Yes
NYC GEOG DIST #32 - BROOKLYN,Yes
OCEANSIDE UFSD,No
OLEAN CITY SD,Yes
ONEIDA CITY SD,Yes
ONEONTA CITY SD,Yes
ONTEORA CSD,No
OSSINING UFSD,No
OSWEGO CITY SD,No
OTEGO-UNADILLA CSD,Yes
OWEGO-APALACHIN CSD,Yes
PALMYRA-MACEDON CSD,No
PATCHOGUE-MEDFORD UFSD,Yes
PEEKSKILL CITY SD,No
PELHAM UFSD,No
PENFIELD CSD,No
PITTSFORD CSD,No
PLAINEDGE UFSD,No
PLATTSBURGH CITY SD,Yes
POUGHKEEPSIE CITY SD,No
QUEENSBURY UFSD,No
RAVENA-COEYMANS-SELKIRK CSD,No
RIVERHEAD CSD,No
ROCHESTER CITY SD,No
ROME CITY SD,No
ROOSEVELT UFSD,Yes
ROSLYN UFSD,No
ROTTERDAM-MOHONASEN CSD,Yes
RUSH-HENRIETTA CSD,No
RYE CITY SD,No
SACHEM CSD,No
SARANAC CSD,Yes
SAUGERTIES CSD,No
SAYVILLE UFSD,No
SCARSDALE UFSD,No
SCHENECTADY CITY SD,Yes
SCOTIA-GLENVILLE CSD,No
SEAFORD UFSD,No
SEWANHAKA CENTRAL SCHOOL DISTRICT,No
SHENENDEHOWA CSD,No
SHERRILL CITY SD,Yes
SKANEATELES CSD,No
SMITHTOWN CSD,No
SOMERS CSD,No
SPACKENKILL UFSD,No
SPENCERPORT CSD,Yes
STARPOINT CSD,Yes
SYOSSET CSD,No
SYRACUSE CITY SD,Yes
TONAWANDA CITY SD,No
TROY CITY SD,Yes
UNION-ENDICOTT CSD,Yes
UNIONDALE UFSD,No
UTICA CITY SD,No
VALHALLA UFSD,No
VESTAL CSD,Yes
VICTOR CSD,No
WALLKILL CSD,No
WANTAGH UFSD,No
WAPPINGERS CSD,No
WASHINGTONVILLE CSD,No
WATERLOO CSD,Yes
WATERTOWN CITY SD,Yes
WAVERLY CSD,Yes
WAYLAND-COHOCTON CSD,No
WAYNE CSD,No
WEBSTER CSD,No
WESTBURY UFSD,No
WESTHILL CSD,Yes
WHITESBORO CSD,No
WILLIAMSVILLE CSD,No
WINDSOR CSD,Yes
WYANDANCH UFSD,No
YONKERS CITY SD,Yes
YORKSHIRE-PIONEER CSD,Yes
YORKTOWN CSD,No
