District,HouseholdIncome
NYCGEOGDIST#10-BRONX,67737
NYCGEOGDIST#11-BRONX,75889
NYCGEOGDIST#12-BRONX,52783
NYCGEOGDIST#13-BROOKLYN,146314
NYCGEOGDIST#14-BROOKLYN,100410
NYCGEOGDIST#15-BROOKLYN,136417
NYCGEOGDIST#16-BROOKLYN,78197
NYCGEOGDIST#17-BROOKLYN,87778
NYCGEOGDIST#18-BROOKLYN,71335
NYCGEOGDIST#19-BROOKLYN,55736
NYCGEOGDIST#1-MANHATTAN,129992
NYCGEOGDIST#20-BROOKLYN,87799
NYCGEOGDIST#21-BROOKLYN,78298
NYCGEOGDIST#22-BROOKLYN,92972
NYCGEOGDIST#23-BROOKLYN,59556
NYCGEOGDIST#24-QUEENS,93211
NYCGEOGDIST#25-QUEENS,88695
NYCGEOGDIST#26-QUEENS,134669
NYCGEOGDIST#27-QUEENS,96886
NYCGEOGDIST#28-QUEENS,94052
NYCGEOGDIST#29-QUEENS,98047
NYCGEOGDIST#2-MANHATTAN,216930
NYCGEOGDIST#30-QUEENS,94671
NYCGEOGDIST#31-STATENISLAND,107648
NYCGEOGDIST#32-BROOKLYN,73559
NYCGEOGDIST#3-MANHATTAN,184564
NYCGEOGDIST#4-MANHATTAN,64864
NYCGEOGDIST#5-MANHATTAN,76849
NYCGEOGDIST#6-MANHATTAN,75663
NYCGEOGDIST#7-BRONX,52737
NYCGEOGDIST#8-BRONX,60563
NYCGEOGDIST#9-BRONX,47668
